                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 0.9367,                 0.5626,                 1.0946,                0.81155,                0.73691,                0.82502,                0.55298,                 1.2094,                0.75903,                  1.243,              0.0002048,              0.0002048,              0.0002048
                    138,                 0.9408,                 0.5669,                 1.0905,                0.81421,                0.73796,                0.82461,                0.55364,                 1.2087,                0.75508,                 1.2424,              0.0001916,              0.0001916,              0.0001916
                    139,                0.92154,                0.55813,                 1.0904,                0.81433,                 0.7327,                0.82497,                0.55322,                 1.2129,                0.75322,                 1.2461,              0.0001784,              0.0001784,              0.0001784
                    140,                0.93407,                0.55939,                 1.0858,                0.82572,                0.72545,                0.82371,                0.55421,                 1.2125,                0.75719,                 1.2449,              0.0001652,              0.0001652,              0.0001652
                    141,                0.92657,                0.53929,                 1.0718,                0.82001,                0.73139,                0.82371,                0.54936,                 1.2163,                0.74943,                 1.2506,               0.000152,               0.000152,               0.000152
                    142,                0.90748,                0.52417,                  1.059,                0.80872,                0.73637,                0.82282,                0.55307,                 1.2106,                0.74391,                 1.2478,              0.0001388,              0.0001388,              0.0001388
                    143,                0.92354,                  0.536,                 1.0748,                 0.8243,                0.72825,                0.82413,                0.55369,                  1.211,                0.74458,                 1.2477,              0.0001256,              0.0001256,              0.0001256
                    144,                0.91071,                 0.5317,                 1.0661,                0.82202,                0.73007,                0.82571,                 0.5523,                 1.2109,                 0.7463,                 1.2483,              0.0001124,              0.0001124,              0.0001124
                    145,                0.90837,                0.51806,                 1.0627,                0.81464,                0.73428,                0.82427,                0.55307,                 1.2072,                0.74965,                 1.2464,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.90553,                0.51654,                 1.0566,                0.81476,                0.73481,                 0.8218,                0.55211,                 1.2074,                0.75273,                 1.2459,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.89965,                0.51428,                  1.062,                0.81562,                0.73434,                0.82181,                0.55299,                 1.2076,                0.75009,                 1.2464,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.90418,                0.51416,                 1.0618,                0.83447,                0.72281,                0.82306,                0.55255,                 1.2086,                0.74994,                 1.2476,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.90704,                0.51755,                 1.0659,                0.83296,                0.72086,                0.82309,                0.55264,                 1.2102,                0.75242,                 1.2484,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.90415,                0.51714,                 1.0591,                0.81402,                0.73465,                0.82239,                0.55273,                 1.2098,                 0.7536,                 1.2469,               3.32e-05,               3.32e-05,               3.32e-05
